Team,Year,HOME W,HOME L,AWAY W,AWAY L,HOME %,AWAY %
Arizona Diamondbacks,2012,41,40,40,41,0.51,0.49
Arizona Diamondbacks,2013,45,36,36,45,0.56,0.44
Arizona Diamondbacks,2014,33,48,31,50,0.41,0.38
Arizona Diamondbacks,2015,39,42,40,41,0.48,0.49
Arizona Diamondbacks,2016,33,48,36,45,0.41,0.44
Arizona Diamondbacks,2017,52,29,41,40,0.64,0.51
Atlanta Braves,2012,48,33,46,35,0.59,0.57
Atlanta Braves,2013,56,25,40,41,0.69,0.49
Atlanta Braves,2014,42,39,37,44,0.52,0.46
Atlanta Braves,2015,42,39,25,56,0.52,0.31
Atlanta Braves,2016,31,50,37,43,0.38,0.46
Atlanta Braves,2017,37,44,35,46,0.46,0.43
Baltimore Orioles,2012,47,34,46,35,0.58,0.57
Baltimore Orioles,2013,46,35,39,42,0.57,0.48
Baltimore Orioles,2014,50,31,46,35,0.62,0.57
Baltimore Orioles,2015,47,31,34,50,0.60,0.40
Baltimore Orioles,2016,50,31,39,42,0.62,0.48
Baltimore Orioles,2017,46,35,29,52,0.57,0.36
Boston Red Sox,2012,34,47,35,46,0.42,0.43
Boston Red Sox,2013,53,28,44,37,0.65,0.54
Boston Red Sox,2014,34,47,37,44,0.42,0.46
Boston Red Sox,2015,43,38,35,46,0.53,0.43
Boston Red Sox,2016,47,34,46,35,0.58,0.57
Boston Red Sox,2017,48,33,45,36,0.59,0.56
Chicago Cubs,2012,38,43,23,58,0.47,0.28
Chicago Cubs,2013,31,50,35,46,0.38,0.43
Chicago Cubs,2014,41,40,32,49,0.51,0.40
Chicago Cubs,2015,49,32,48,33,0.60,0.59
Chicago Cubs,2016,57,24,46,34,0.70,0.58
Chicago Cubs,2017,48,33,44,37,0.59,0.54
Chicago White Sox,2012,45,36,40,41,0.56,0.49
Chicago White Sox,2013,37,44,26,55,0.46,0.32
Chicago White Sox,2014,40,41,33,48,0.49,0.41
Chicago White Sox,2015,40,41,36,45,0.49,0.44
Chicago White Sox,2016,45,36,33,48,0.56,0.41
Chicago White Sox,2017,39,42,28,53,0.48,0.35
Cincinnati Reds,2012,50,31,47,34,0.62,0.58
Cincinnati Reds,2013,49,31,41,41,0.61,0.50
Cincinnati Reds,2014,44,37,32,49,0.54,0.40
Cincinnati Reds,2015,34,47,30,51,0.42,0.37
Cincinnati Reds,2016,38,43,30,51,0.47,0.37
Cincinnati Reds,2017,39,42,29,52,0.48,0.36
Cleveland Indians,2012,37,44,31,50,0.46,0.38
Cleveland Indians,2013,51,30,41,40,0.63,0.51
Cleveland Indians,2014,48,33,37,44,0.59,0.46
Cleveland Indians,2015,39,41,42,39,0.49,0.52
Cleveland Indians,2016,53,28,41,39,0.65,0.51
Cleveland Indians,2017,49,32,53,28,0.60,0.65
Colorado Rockies,2012,35,46,29,52,0.43,0.36
Colorado Rockies,2013,45,36,29,52,0.56,0.36
Colorado Rockies,2014,45,36,21,60,0.56,0.26
Colorado Rockies,2015,36,45,32,49,0.44,0.40
Colorado Rockies,2016,42,39,33,48,0.52,0.41
Colorado Rockies,2017,46,35,41,40,0.57,0.51
Detroit Tigers,2012,50,31,38,43,0.62,0.47
Detroit Tigers,2013,51,30,42,39,0.63,0.52
Detroit Tigers,2014,45,36,45,36,0.56,0.56
Detroit Tigers,2015,38,43,36,44,0.47,0.45
Detroit Tigers,2016,45,35,41,40,0.56,0.51
Detroit Tigers,2017,34,47,30,51,0.42,0.37
Houston Astros,2012,35,46,20,61,0.43,0.25
Houston Astros,2013,24,57,27,54,0.30,0.33
Houston Astros,2014,38,43,32,49,0.47,0.40
Houston Astros,2015,53,28,33,48,0.65,0.41
Houston Astros,2016,43,38,41,40,0.53,0.51
Houston Astros,2017,48,33,53,28,0.59,0.65
Kansas City Royals,2012,37,44,35,46,0.46,0.43
Kansas City Royals,2013,44,37,42,39,0.54,0.52
Kansas City Royals,2014,42,39,47,34,0.52,0.58
Kansas City Royals,2015,51,30,44,37,0.63,0.54
Kansas City Royals,2016,47,34,34,47,0.58,0.42
Kansas City Royals,2017,43,38,37,44,0.53,0.46
Los Angeles Angels,2012,46,35,43,38,0.57,0.53
Los Angeles Angels,2013,39,42,39,42,0.48,0.48
Los Angeles Angels,2014,52,29,46,35,0.64,0.57
Los Angeles Angels,2015,49,32,36,45,0.60,0.44
Los Angeles Angels,2016,40,41,34,47,0.49,0.42
Los Angeles Angels,2017,43,38,37,44,0.53,0.46
Los Angeles Dodgers,2012,45,36,41,40,0.56,0.51
Los Angeles Dodgers,2013,47,34,45,36,0.58,0.56
Los Angeles Dodgers,2014,45,36,49,32,0.56,0.60
Los Angeles Dodgers,2015,55,26,37,44,0.68,0.46
Los Angeles Dodgers,2016,53,28,38,43,0.65,0.47
Los Angeles Dodgers,2017,57,24,47,34,0.70,0.58
Miami Marlins,2012,38,43,31,50,0.47,0.38
Miami Marlins,2013,36,45,26,55,0.44,0.32
Miami Marlins,2014,42,39,35,46,0.52,0.43
Miami Marlins,2015,41,40,30,51,0.51,0.37
Miami Marlins,2016,40,40,39,42,0.50,0.48
Miami Marlins,2017,42,36,35,49,0.54,0.42
Milwaukee Brewers,2012,49,32,34,47,0.60,0.42
Milwaukee Brewers,2013,37,44,37,44,0.46,0.46
Milwaukee Brewers,2014,42,39,40,41,0.52,0.49
Milwaukee Brewers,2015,34,47,34,47,0.42,0.42
Milwaukee Brewers,2016,41,40,32,49,0.51,0.40
Milwaukee Brewers,2017,46,38,40,38,0.55,0.51
Minnesota Twins,2012,31,50,35,46,0.38,0.43
Minnesota Twins,2013,32,49,34,47,0.40,0.42
Minnesota Twins,2014,35,46,35,46,0.43,0.43
Minnesota Twins,2015,46,35,37,44,0.57,0.46
Minnesota Twins,2016,30,51,29,52,0.37,0.36
Minnesota Twins,2017,41,40,44,37,0.51,0.54
New York Mets,2012,36,45,38,43,0.44,0.47
New York Mets,2013,33,48,41,40,0.41,0.51
New York Mets,2014,40,41,39,42,0.49,0.48
New York Mets,2015,49,32,41,40,0.60,0.51
New York Mets,2016,44,37,43,38,0.54,0.53
New York Mets,2017,37,44,33,48,0.46,0.41
New York Yankees,2012,51,30,44,37,0.63,0.54
New York Yankees,2013,46,35,39,42,0.57,0.48
New York Yankees,2014,43,38,41,40,0.53,0.51
New York Yankees,2015,45,36,42,39,0.56,0.52
New York Yankees,2016,48,33,36,45,0.59,0.44
New York Yankees,2017,51,30,40,41,0.63,0.49
Oakland Athletics,2012,50,31,44,37,0.62,0.54
Oakland Athletics,2013,52,29,44,37,0.64,0.54
Oakland Athletics,2014,48,33,40,41,0.59,0.49
Oakland Athletics,2015,34,47,34,47,0.42,0.42
Oakland Athletics,2016,34,47,35,46,0.42,0.43
Oakland Athletics,2017,46,35,29,52,0.57,0.36
Philadelphia Phillies,2012,40,41,41,40,0.49,0.51
Philadelphia Phillies,2013,43,38,30,51,0.53,0.37
Philadelphia Phillies,2014,37,44,36,45,0.46,0.44
Philadelphia Phillies,2015,37,44,26,55,0.46,0.32
Philadelphia Phillies,2016,37,44,34,47,0.46,0.42
Philadelphia Phillies,2017,39,42,27,54,0.48,0.33
Pittsburgh Pirates,2012,45,36,34,47,0.56,0.42
Pittsburgh Pirates,2013,50,31,44,37,0.62,0.54
Pittsburgh Pirates,2014,51,30,37,44,0.63,0.46
Pittsburgh Pirates,2015,53,28,45,36,0.65,0.56
Pittsburgh Pirates,2016,38,42,40,41,0.48,0.49
Pittsburgh Pirates,2017,44,37,31,50,0.54,0.38
San Diego Padres,2012,42,39,34,47,0.52,0.42
San Diego Padres,2013,45,36,31,50,0.56,0.38
San Diego Padres,2014,48,33,29,52,0.59,0.36
San Diego Padres,2015,39,42,35,46,0.48,0.43
San Diego Padres,2016,39,42,29,52,0.48,0.36
San Diego Padres,2017,43,38,28,53,0.53,0.35
San Francisco Giants,2012,40,41,35,46,0.49,0.43
San Francisco Giants,2013,36,45,35,46,0.44,0.43
San Francisco Giants,2014,41,40,46,35,0.51,0.57
San Francisco Giants,2015,36,45,40,41,0.44,0.49
San Francisco Giants,2016,44,37,42,39,0.54,0.52
San Francisco Giants,2017,40,41,38,43,0.49,0.47
Seattle Mariners,2012,48,33,46,35,0.59,0.57
Seattle Mariners,2013,42,40,34,46,0.51,0.43
Seattle Mariners,2014,45,36,43,38,0.56,0.53
Seattle Mariners,2015,47,34,37,44,0.58,0.46
Seattle Mariners,2016,45,36,42,39,0.56,0.52
Seattle Mariners,2017,38,43,26,55,0.47,0.32
St. Louis Cardinals,2012,50,31,38,43,0.62,0.47
St. Louis Cardinals,2013,54,27,43,38,0.67,0.53
St. Louis Cardinals,2014,51,30,39,42,0.63,0.48
St. Louis Cardinals,2015,55,26,45,36,0.68,0.56
St. Louis Cardinals,2016,38,43,48,33,0.47,0.59
St. Louis Cardinals,2017,44,37,39,42,0.54,0.48
Tampa Bay Rays,2012,46,35,44,37,0.57,0.54
Tampa Bay Rays,2013,51,30,41,41,0.63,0.50
Tampa Bay Rays,2014,36,45,41,40,0.44,0.51
Tampa Bay Rays,2015,42,42,38,40,0.50,0.49
Tampa Bay Rays,2016,36,45,32,49,0.44,0.40
Tampa Bay Rays,2017,42,39,38,43,0.52,0.47
Texas Rangers,2012,50,31,43,38,0.62,0.53
Texas Rangers,2013,46,36,45,36,0.56,0.56
Texas Rangers,2014,33,48,34,47,0.41,0.42
Texas Rangers,2015,43,38,45,36,0.53,0.56
Texas Rangers,2016,53,28,42,39,0.65,0.52
Texas Rangers,2017,41,40,37,44,0.51,0.46
Toronto Blue Jays,2012,41,40,32,49,0.51,0.40
Toronto Blue Jays,2013,40,41,34,47,0.49,0.42
Toronto Blue Jays,2014,46,35,37,44,0.57,0.46
Toronto Blue Jays,2015,53,28,40,41,0.65,0.49
Toronto Blue Jays,2016,46,35,43,38,0.57,0.53
Toronto Blue Jays,2017,42,39,34,47,0.52,0.42
Washington Nationals,2012,50,31,48,33,0.62,0.59
Washington Nationals,2013,47,34,39,42,0.58,0.48
Washington Nationals,2014,51,30,45,36,0.63,0.56
Washington Nationals,2015,46,35,37,44,0.57,0.46
Washington Nationals,2016,50,31,45,36,0.62,0.56
Washington Nationals,2017,47,34,50,31,0.58,0.62
