,season,team,result,date
0,2012,ARI,Loss,4
1,2012,ARI,Win,4
2,2012,ATL,Loss,2
3,2012,ATL,Win,8
4,2012,BAL,Loss,2
5,2012,BAL,Win,8
6,2012,BUF,Loss,4
7,2012,BUF,Win,4
8,2012,CAR,Loss,5
9,2012,CAR,Win,3
10,2012,CHI,Loss,3
11,2012,CHI,Win,5
12,2012,CIN,Loss,4
13,2012,CIN,Win,4
14,2012,CLE,Loss,4
15,2012,CLE,Win,4
16,2012,DAL,Loss,4
17,2012,DAL,Win,4
18,2012,DEN,Loss,2
19,2012,DEN,Win,7
20,2012,DET,Loss,6
21,2012,DET,Win,2
22,2012,GB,Loss,1
23,2012,GB,Win,8
24,2012,HOU,Loss,2
25,2012,HOU,Win,7
26,2012,IND,Loss,1
27,2012,IND,Win,7
28,2012,JAX,Loss,7
29,2012,JAX,Win,1
30,2012,KC,Loss,7
31,2012,KC,Win,1
32,2012,LAC,Loss,5
33,2012,LAC,Win,3
34,2012,LAR,Loss,3
35,2012,LAR,Win,4
36,2012,MIA,Loss,3
37,2012,MIA,Win,5
38,2012,MIN,Loss,1
39,2012,MIN,Win,7
40,2012,NE,Loss,3
41,2012,NE,Win,8
42,2012,NO,Loss,4
43,2012,NO,Win,4
44,2012,NYG,Loss,2
45,2012,NYG,Win,6
46,2012,NYJ,Loss,5
47,2012,NYJ,Win,3
48,2012,OAK,Loss,5
49,2012,OAK,Win,3
50,2012,PHI,Loss,6
51,2012,PHI,Win,2
52,2012,PIT,Loss,3
53,2012,PIT,Win,5
54,2012,SEA,Win,8
55,2012,SF,Loss,1
56,2012,SF,Tie,1
57,2012,SF,Win,7
58,2012,TB,Loss,5
59,2012,TB,Win,3
60,2012,TEN,Loss,4
61,2012,TEN,Win,4
62,2012,WSH,Loss,4
63,2012,WSH,Win,5
64,2013,ARI,Loss,2
65,2013,ARI,Win,6
66,2013,ATL,Loss,5
67,2013,ATL,Win,3
68,2013,BAL,Loss,2
69,2013,BAL,Win,6
70,2013,BUF,Loss,4
71,2013,BUF,Win,4
72,2013,CAR,Loss,2
73,2013,CAR,Win,7
74,2013,CHI,Loss,3
75,2013,CHI,Win,5
76,2013,CIN,Loss,1
77,2013,CIN,Win,8
78,2013,CLE,Loss,5
79,2013,CLE,Win,3
80,2013,DAL,Loss,3
81,2013,DAL,Win,5
82,2013,DEN,Loss,2
83,2013,DEN,Win,9
84,2013,DET,Loss,4
85,2013,DET,Win,4
86,2013,GB,Loss,4
87,2013,GB,Tie,1
88,2013,GB,Win,4
89,2013,HOU,Loss,7
90,2013,HOU,Win,1
91,2013,IND,Loss,2
92,2013,IND,Win,7
93,2013,JAX,Loss,6
94,2013,JAX,Win,1
95,2013,KC,Loss,3
96,2013,KC,Win,5
97,2013,LAC,Loss,3
98,2013,LAC,Win,5
99,2013,LAR,Loss,3
100,2013,LAR,Win,5
101,2013,MIA,Loss,4
102,2013,MIA,Win,4
103,2013,MIN,Loss,3
104,2013,MIN,Win,4
105,2013,NE,Win,9
106,2013,NO,Win,8
107,2013,NYG,Loss,4
108,2013,NYG,Win,4
109,2013,NYJ,Loss,2
110,2013,NYJ,Win,6
111,2013,OAK,Loss,5
112,2013,OAK,Win,3
113,2013,PHI,Loss,5
114,2013,PHI,Win,4
115,2013,PIT,Loss,4
116,2013,PIT,Win,5
117,2013,SEA,Loss,1
118,2013,SEA,Win,9
119,2013,SF,Loss,2
120,2013,SF,Win,7
121,2013,TB,Loss,5
122,2013,TB,Win,3
123,2013,TEN,Loss,5
124,2013,TEN,Win,3
125,2013,WSH,Loss,6
126,2013,WSH,Win,2
127,2014,ARI,Loss,1
128,2014,ARI,Win,7
129,2014,ATL,Loss,4
130,2014,ATL,Win,3
131,2014,BAL,Loss,2
132,2014,BAL,Win,6
133,2014,BUF,Loss,3
134,2014,BUF,Win,5
135,2014,CAR,Loss,4
136,2014,CAR,Win,5
137,2014,CHI,Loss,6
138,2014,CHI,Win,2
139,2014,CIN,Loss,2
140,2014,CIN,Tie,1
141,2014,CIN,Win,5
142,2014,CLE,Loss,4
143,2014,CLE,Win,4
144,2014,DAL,Loss,4
145,2014,DAL,Win,6
146,2014,DEN,Loss,1
147,2014,DEN,Win,8
148,2014,DET,Loss,1
149,2014,DET,Win,8
150,2014,GB,Win,9
151,2014,HOU,Loss,3
152,2014,HOU,Win,5
153,2014,IND,Loss,2
154,2014,IND,Win,7
155,2014,JAX,Loss,4
156,2014,JAX,Win,3
157,2014,KC,Loss,2
158,2014,KC,Win,6
159,2014,LAC,Loss,3
160,2014,LAC,Win,5
161,2014,LAR,Loss,5
162,2014,LAR,Win,3
163,2014,MIA,Loss,4
164,2014,MIA,Win,5
165,2014,MIN,Loss,3
166,2014,MIN,Win,5
167,2014,NE,Loss,1
168,2014,NE,Win,10
169,2014,NO,Loss,5
170,2014,NO,Win,3
171,2014,NYG,Loss,5
172,2014,NYG,Win,3
173,2014,NYJ,Loss,6
174,2014,NYJ,Win,2
175,2014,OAK,Loss,4
176,2014,OAK,Win,3
177,2014,PHI,Loss,2
178,2014,PHI,Win,6
179,2014,PIT,Loss,3
180,2014,PIT,Win,6
181,2014,SEA,Loss,1
182,2014,SEA,Win,9
183,2014,SF,Loss,4
184,2014,SF,Win,4
185,2014,TB,Loss,8
186,2014,TEN,Loss,7
187,2014,TEN,Win,1
188,2014,WSH,Loss,5
189,2014,WSH,Win,3
190,2015,ARI,Loss,2
191,2015,ARI,Win,7
192,2015,ATL,Loss,4
193,2015,ATL,Win,4
194,2015,BAL,Loss,5
195,2015,BAL,Win,3
196,2015,BUF,Loss,3
197,2015,BUF,Win,5
198,2015,CAR,Win,10
199,2015,CHI,Loss,7
200,2015,CHI,Win,1
201,2015,CIN,Loss,3
202,2015,CIN,Win,6
203,2015,CLE,Loss,6
204,2015,CLE,Win,2
205,2015,DAL,Loss,7
206,2015,DAL,Win,1
207,2015,DEN,Loss,2
208,2015,DEN,Win,9
209,2015,DET,Loss,4
210,2015,DET,Win,4
211,2015,GB,Loss,3
212,2015,GB,Win,5
213,2015,HOU,Loss,4
214,2015,HOU,Win,5
215,2015,IND,Loss,4
216,2015,IND,Win,4
217,2015,JAX,Loss,4
218,2015,JAX,Win,4
219,2015,KC,Loss,2
220,2015,KC,Win,6
221,2015,LAC,Loss,5
222,2015,LAC,Win,3
223,2015,LAR,Loss,3
224,2015,LAR,Win,5
225,2015,MIA,Loss,5
226,2015,MIA,Win,3
227,2015,MIN,Loss,3
228,2015,MIN,Win,6
229,2015,NE,Loss,1
230,2015,NE,Win,8
231,2015,NO,Loss,4
232,2015,NO,Win,4
233,2015,NYG,Loss,5
234,2015,NYG,Win,3
235,2015,NYJ,Loss,2
236,2015,NYJ,Win,6
237,2015,OAK,Loss,5
238,2015,OAK,Win,3
239,2015,PHI,Loss,5
240,2015,PHI,Win,3
241,2015,PIT,Loss,2
242,2015,PIT,Win,6
243,2015,SEA,Loss,3
244,2015,SEA,Win,5
245,2015,SF,Loss,4
246,2015,SF,Win,4
247,2015,TB,Loss,5
248,2015,TB,Win,3
249,2015,TEN,Loss,7
250,2015,TEN,Win,1
251,2015,WSH,Loss,3
252,2015,WSH,Win,6
253,2016,ARI,Loss,3
254,2016,ARI,Tie,1
255,2016,ARI,Win,4
256,2016,ATL,Loss,4
257,2016,ATL,Win,7
258,2016,BAL,Loss,2
259,2016,BAL,Win,6
260,2016,BUF,Loss,4
261,2016,BUF,Win,4
262,2016,CAR,Loss,4
263,2016,CAR,Win,4
264,2016,CHI,Loss,5
265,2016,CHI,Win,3
266,2016,CIN,Loss,3
267,2016,CIN,Tie,1
268,2016,CIN,Win,4
269,2016,CLE,Loss,7
270,2016,CLE,Win,1
271,2016,DAL,Loss,2
272,2016,DAL,Win,7
273,2016,DEN,Loss,3
274,2016,DEN,Win,5
275,2016,DET,Loss,2
276,2016,DET,Win,6
277,2016,GB,Loss,2
278,2016,GB,Win,7
279,2016,HOU,Loss,1
280,2016,HOU,Win,8
281,2016,IND,Loss,4
282,2016,IND,Win,4
283,2016,JAX,Loss,6
284,2016,JAX,Win,2
285,2016,KC,Loss,3
286,2016,KC,Win,6
287,2016,LAC,Loss,5
288,2016,LAC,Win,3
289,2016,LAR,Loss,7
290,2016,LAR,Win,1
291,2016,MIA,Loss,2
292,2016,MIA,Win,6
293,2016,MIN,Loss,3
294,2016,MIN,Win,5
295,2016,NE,Loss,2
296,2016,NE,Win,8
297,2016,NO,Loss,4
298,2016,NO,Win,4
299,2016,NYG,Loss,1
300,2016,NYG,Win,7
301,2016,NYJ,Loss,6
302,2016,NYJ,Win,2
303,2016,OAK,Loss,2
304,2016,OAK,Win,6
305,2016,PHI,Loss,2
306,2016,PHI,Win,6
307,2016,PIT,Loss,2
308,2016,PIT,Win,7
309,2016,SEA,Loss,1
310,2016,SEA,Win,8
311,2016,SF,Loss,7
312,2016,SF,Win,1
313,2016,TB,Loss,4
314,2016,TB,Win,4
315,2016,TEN,Loss,3
316,2016,TEN,Win,5
317,2016,WSH,Loss,4
318,2016,WSH,Win,4
