date,season,home,away,lat,long,score1,score2,result
9/14/2014,2014,LAC,SEA,39.06 N,-94.37 W,30,21,Win
9/28/2014,2014,LAC,JAX,39.06 N,-94.37 W,33,14,Win
10/5/2014,2014,LAC,NYJ,39.06 N,-94.37 W,31,0,Win
10/19/2014,2014,LAC,KC,39.06 N,-94.37 W,20,23,Loss
11/16/2014,2014,LAC,OAK,39.06 N,-94.37 W,13,6,Win
11/23/2014,2014,LAC,LAR,39.06 N,-94.37 W,27,24,Win
12/7/2014,2014,LAC,NE,39.06 N,-94.37 W,14,23,Loss
12/14/2014,2014,LAC,DEN,39.06 N,-94.37 W,10,22,Loss
9/7/2014,2014,LAR,MIN,39.06 N,-94.37 W,6,34,Loss
9/21/2014,2014,LAR,DAL,39.06 N,-94.37 W,31,34,Loss
10/13/2014,2014,LAR,SF,39.06 N,-94.37 W,17,31,Loss
10/19/2014,2014,LAR,SEA,39.06 N,-94.37 W,28,26,Win
11/16/2014,2014,LAR,DEN,39.06 N,-94.37 W,22,7,Win
11/30/2014,2014,LAR,OAK,39.06 N,-94.37 W,52,0,Win
12/11/2014,2014,LAR,ARI,39.06 N,-94.37 W,6,12,Loss
12/21/2014,2014,LAR,NYG,39.06 N,-94.37 W,27,37,Loss
9/7/2014,2014,MIA,NE,25.46 N,-80.12 W,33,20,Win
9/21/2014,2014,MIA,KC,25.46 N,-80.12 W,15,34,Loss
9/28/2014,2014,MIA,OAK,25.46 N,-80.12 W,38,14,Win
10/12/2014,2014,MIA,GB,25.46 N,-80.12 W,24,27,Loss
11/2/2014,2014,MIA,LAC,25.46 N,-80.12 W,37,0,Win
11/13/2014,2014,MIA,BUF,25.46 N,-80.12 W,22,9,Win
12/7/2014,2014,MIA,BAL,25.46 N,-80.12 W,13,28,Loss
12/21/2014,2014,MIA,MIN,25.46 N,-80.12 W,37,35,Win
12/28/2014,2014,MIA,NYJ,25.46 N,-80.12 W,24,37,Loss
9/14/2014,2014,MIN,NE,44.59 N,-93.13 W,7,30,Loss
9/28/2014,2014,MIN,ATL,44.59 N,-93.13 W,41,28,Win
10/12/2014,2014,MIN,DET,44.59 N,-93.13 W,3,17,Loss
11/2/2014,2014,MIN,WSH,44.59 N,-93.13 W,29,26,Win
11/23/2014,2014,MIN,GB,44.59 N,-93.13 W,21,24,Loss
11/30/2014,2014,MIN,CAR,44.59 N,-93.13 W,31,13,Win
12/7/2014,2014,MIN,NYJ,44.59 N,-93.13 W,30,24,Win
12/28/2014,2014,MIN,CHI,44.59 N,-93.13 W,13,9,Win
9/21/2014,2014,NE,OAK,42.21 N,-71.04 W,16,9,Win
10/5/2014,2014,NE,CIN,42.21 N,-71.04 W,43,17,Win
10/16/2014,2014,NE,NYJ,42.21 N,-71.04 W,27,25,Win
10/26/2014,2014,NE,CHI,42.21 N,-71.04 W,51,23,Win
11/2/2014,2014,NE,DEN,42.21 N,-71.04 W,43,21,Win
11/23/2014,2014,NE,DET,42.21 N,-71.04 W,34,9,Win
12/14/2014,2014,NE,MIA,42.21 N,-71.04 W,41,13,Win
12/28/2014,2014,NE,BUF,42.21 N,-71.04 W,9,17,Loss
1/10/2015,2014,NE,BAL,42.21 N,-71.04 W,35,31,Win
1/18/2015,2014,NE,IND,42.21 N,-71.04 W,45,7,Win
2/1/2015,2014,NE,SEA,42.21 N,-71.04 W,28,24,Win
9/21/2014,2014,NO,MIN,29.58 N,-90.07 W,20,9,Win
10/5/2014,2014,NO,TB,29.58 N,-90.07 W,37,31,Win
10/26/2014,2014,NO,GB,29.58 N,-90.07 W,44,23,Win
11/9/2014,2014,NO,SF,29.58 N,-90.07 W,24,27,Loss
11/16/2014,2014,NO,CIN,29.58 N,-90.07 W,10,27,Loss
11/24/2014,2014,NO,BAL,29.58 N,-90.07 W,27,34,Loss
12/7/2014,2014,NO,CAR,29.58 N,-90.07 W,10,41,Loss
12/21/2014,2014,NO,ATL,29.58 N,-90.07 W,14,30,Loss
9/14/2014,2014,NYG,ARI,40.43 N,-74.01 W,14,25,Loss
9/21/2014,2014,NYG,HOU,40.43 N,-74.01 W,30,17,Win
10/5/2014,2014,NYG,ATL,40.43 N,-74.01 W,30,20,Win
11/3/2014,2014,NYG,IND,40.43 N,-74.01 W,24,40,Loss
11/16/2014,2014,NYG,SF,40.43 N,-74.01 W,10,16,Loss
11/23/2014,2014,NYG,DAL,40.43 N,-74.01 W,28,31,Loss
12/14/2014,2014,NYG,WSH,40.43 N,-74.01 W,24,13,Win
12/28/2014,2014,NYG,PHI,40.43 N,-74.01 W,26,34,Loss
9/7/2014,2014,NYJ,OAK,40.43 N,-74.01 W,19,14,Win
9/22/2014,2014,NYJ,CHI,40.43 N,-74.01 W,19,27,Loss
9/28/2014,2014,NYJ,DET,40.43 N,-74.01 W,17,24,Loss
10/12/2014,2014,NYJ,DEN,40.43 N,-74.01 W,17,31,Loss
10/26/2014,2014,NYJ,BUF,40.43 N,-74.01 W,23,43,Loss
11/9/2014,2014,NYJ,PIT,40.43 N,-74.01 W,20,13,Win
12/1/2014,2014,NYJ,MIA,40.43 N,-74.01 W,13,16,Loss
12/21/2014,2014,NYJ,NE,40.43 N,-74.01 W,16,17,Loss
9/14/2014,2014,OAK,HOU,37.47 N,-122.13 W,14,30,Loss
10/12/2014,2014,OAK,LAC,37.47 N,-122.13 W,28,31,Loss
10/19/2014,2014,OAK,ARI,37.47 N,-122.13 W,13,24,Loss
11/9/2014,2014,OAK,DEN,37.47 N,-122.13 W,17,41,Loss
11/20/2014,2014,OAK,KC,37.47 N,-122.13 W,24,20,Win
12/7/2014,2014,OAK,SF,37.47 N,-122.13 W,24,13,Win
12/21/2014,2014,OAK,BUF,37.47 N,-122.13 W,26,24,Win
9/7/2014,2014,PHI,JAX,39.57 N,-75.07 W,34,17,Win
9/21/2014,2014,PHI,WSH,39.57 N,-75.07 W,37,34,Win
10/5/2014,2014,PHI,LAR,39.57 N,-75.07 W,34,28,Win
10/12/2014,2014,PHI,NYG,39.57 N,-75.07 W,27,0,Win
11/10/2014,2014,PHI,CAR,39.57 N,-75.07 W,45,21,Win
11/23/2014,2014,PHI,TEN,39.57 N,-75.07 W,43,24,Win
12/7/2014,2014,PHI,SEA,39.57 N,-75.07 W,14,24,Loss
12/14/2014,2014,PHI,DAL,39.57 N,-75.07 W,27,38,Loss
9/7/2014,2014,PIT,CLE,40.26 N,-80.00 W,30,27,Win
9/28/2014,2014,PIT,TB,40.26 N,-80.00 W,24,27,Loss
10/20/2014,2014,PIT,HOU,40.26 N,-80.00 W,30,23,Win
10/26/2014,2014,PIT,IND,40.26 N,-80.00 W,51,34,Win
11/2/2014,2014,PIT,BAL,40.26 N,-80.00 W,43,23,Win
11/30/2014,2014,PIT,NO,40.26 N,-80.00 W,32,35,Loss
12/21/2014,2014,PIT,KC,40.26 N,-80.00 W,20,12,Win
12/28/2014,2014,PIT,CIN,40.26 N,-80.00 W,27,17,Win
1/3/2015,2014,PIT,BAL,40.26 N,-80.00 W,17,30,Loss
9/4/2014,2014,SEA,GB,47.36 N,-122.20 W,36,16,Win
9/21/2014,2014,SEA,DEN,47.36 N,-122.20 W,26,20,Win
10/12/2014,2014,SEA,DAL,47.36 N,-122.20 W,23,30,Loss
11/2/2014,2014,SEA,OAK,47.36 N,-122.20 W,30,24,Win
11/9/2014,2014,SEA,NYG,47.36 N,-122.20 W,38,17,Win
11/23/2014,2014,SEA,ARI,47.36 N,-122.20 W,19,3,Win
12/14/2014,2014,SEA,SF,47.36 N,-122.20 W,17,7,Win
12/28/2014,2014,SEA,LAR,47.36 N,-122.20 W,20,6,Win
1/10/2015,2014,SEA,CAR,47.36 N,-122.20 W,31,17,Win
1/18/2015,2014,SEA,GB,47.36 N,-122.20 W,28,22,Win
9/14/2014,2014,SF,CHI,47.36 N,-122.20 W,20,28,Loss
9/28/2014,2014,SF,PHI,47.36 N,-122.20 W,26,21,Win
10/5/2014,2014,SF,KC,47.36 N,-122.20 W,22,17,Win
11/2/2014,2014,SF,LAR,47.36 N,-122.20 W,10,13,Loss
11/23/2014,2014,SF,WSH,47.36 N,-122.20 W,17,13,Win
11/27/2014,2014,SF,SEA,47.36 N,-122.20 W,3,19,Loss
12/20/2014,2014,SF,LAC,47.36 N,-122.20 W,35,38,Loss
12/28/2014,2014,SF,ARI,47.36 N,-122.20 W,20,17,Win
9/7/2014,2014,TB,CAR,27.57 N,-82.27 W,14,20,Loss
9/14/2014,2014,TB,LAR,27.57 N,-82.27 W,17,19,Loss
10/12/2014,2014,TB,BAL,27.57 N,-82.27 W,17,48,Loss
10/26/2014,2014,TB,MIN,27.57 N,-82.27 W,13,19,Loss
11/9/2014,2014,TB,ATL,27.57 N,-82.27 W,17,27,Loss
11/30/2014,2014,TB,CIN,27.57 N,-82.27 W,13,14,Loss
12/21/2014,2014,TB,GB,27.57 N,-82.27 W,3,20,Loss
12/28/2014,2014,TB,NO,27.57 N,-82.27 W,20,23,Loss
9/14/2014,2014,TEN,DAL,36.09 N,-86.48 W,10,26,Loss
10/5/2014,2014,TEN,CLE,36.09 N,-86.48 W,28,29,Loss
10/12/2014,2014,TEN,JAX,36.09 N,-86.48 W,16,14,Win
10/26/2014,2014,TEN,HOU,36.09 N,-86.48 W,16,30,Loss
11/17/2014,2014,TEN,PIT,36.09 N,-86.48 W,24,27,Loss
12/7/2014,2014,TEN,NYG,36.09 N,-86.48 W,7,36,Loss
12/14/2014,2014,TEN,NYJ,36.09 N,-86.48 W,11,16,Loss
12/28/2014,2014,TEN,IND,36.09 N,-86.48 W,10,27,Loss
9/14/2014,2014,WSH,JAX,38.54 N,-77.01 W,41,10,Win
9/25/2014,2014,WSH,NYG,38.54 N,-77.01 W,14,45,Loss
10/6/2014,2014,WSH,SEA,38.54 N,-77.01 W,17,27,Loss
10/19/2014,2014,WSH,TEN,38.54 N,-77.01 W,19,17,Win
11/16/2014,2014,WSH,TB,38.54 N,-77.01 W,7,27,Loss
12/7/2014,2014,WSH,LAR,38.54 N,-77.01 W,0,24,Loss
12/20/2014,2014,WSH,PHI,38.54 N,-77.01 W,27,24,Win
12/28/2014,2014,WSH,DAL,38.54 N,-77.01 W,17,44,Loss
9/13/2015,2015,ARI,NO,33.27 N,-112.05 W,31,19,Win
9/27/2015,2015,ARI,SF,33.27 N,-112.05 W,47,7,Win
10/4/2015,2015,ARI,LAR,33.27 N,-112.05 W,22,24,Loss
10/26/2015,2015,ARI,BAL,33.27 N,-112.05 W,26,18,Win
11/22/2015,2015,ARI,CIN,33.27 N,-112.05 W,34,31,Win
12/10/2015,2015,ARI,MIN,33.27 N,-112.05 W,23,20,Win
12/27/2015,2015,ARI,GB,33.27 N,-112.05 W,38,8,Win
1/3/2016,2015,ARI,SEA,33.27 N,-112.05 W,6,36,Loss
1/15/2016,2015,ARI,GB,33.27 N,-112.05 W,26,20,Win
9/14/2015,2015,ATL,PHI,33.45 N,-84.23 W,26,24,Win
10/4/2015,2015,ATL,HOU,33.45 N,-84.23 W,48,21,Win
10/11/2015,2015,ATL,WSH,33.45 N,-84.23 W,25,19,Win
11/1/2015,2015,ATL,TB,33.45 N,-84.23 W,20,23,Loss
11/22/2015,2015,ATL,IND,33.45 N,-84.23 W,21,24,Loss
11/29/2015,2015,ATL,MIN,33.45 N,-84.23 W,10,20,Loss
12/27/2015,2015,ATL,CAR,33.45 N,-84.23 W,20,13,Win
1/3/2016,2015,ATL,NO,33.45 N,-84.23 W,17,20,Loss
9/27/2015,2015,BAL,CIN,39.17 N,-76.37 W,24,28,Loss
10/11/2015,2015,BAL,CLE,39.17 N,-76.37 W,30,33,Loss
11/1/2015,2015,BAL,LAC,39.17 N,-76.37 W,29,26,Win
11/15/2015,2015,BAL,JAX,39.17 N,-76.37 W,20,22,Loss
11/22/2015,2015,BAL,LAR,39.17 N,-76.37 W,16,13,Win
12/13/2015,2015,BAL,SEA,39.17 N,-76.37 W,6,35,Loss
12/20/2015,2015,BAL,KC,39.17 N,-76.37 W,14,34,Loss
12/27/2015,2015,BAL,PIT,39.17 N,-76.37 W,20,17,Win
9/13/2015,2015,BUF,IND,42.54 N,-78.53 W,27,14,Win
9/20/2015,2015,BUF,NE,42.54 N,-78.53 W,32,40,Loss
10/4/2015,2015,BUF,NYG,42.54 N,-78.53 W,10,24,Loss
10/18/2015,2015,BUF,CIN,42.54 N,-78.53 W,21,34,Loss
11/8/2015,2015,BUF,MIA,42.54 N,-78.53 W,33,17,Win
12/6/2015,2015,BUF,HOU,42.54 N,-78.53 W,30,21,Win
12/27/2015,2015,BUF,DAL,42.54 N,-78.53 W,16,6,Win
1/3/2016,2015,BUF,NYJ,42.54 N,-78.53 W,22,17,Win
9/20/2015,2015,CAR,HOU,35.14 N,-80.50 W,24,17,Win
9/27/2015,2015,CAR,NO,35.14 N,-80.50 W,27,22,Win
10/25/2015,2015,CAR,PHI,35.14 N,-80.50 W,27,16,Win
11/2/2015,2015,CAR,IND,35.14 N,-80.50 W,29,26,Win
11/8/2015,2015,CAR,GB,35.14 N,-80.50 W,37,29,Win
11/22/2015,2015,CAR,WSH,35.14 N,-80.50 W,44,16,Win
12/13/2015,2015,CAR,ATL,35.14 N,-80.50 W,38,0,Win
1/3/2016,2015,CAR,TB,35.14 N,-80.50 W,38,10,Win
1/16/2016,2015,CAR,SEA,35.14 N,-80.50 W,31,24,Win
1/24/2016,2015,CAR,ARI,35.14 N,-80.50 W,49,15,Win
9/13/2015,2015,CHI,GB,41.53 N,-87.38 W,23,31,Loss
9/20/2015,2015,CHI,ARI,41.53 N,-87.38 W,23,48,Loss
10/4/2015,2015,CHI,OAK,41.53 N,-87.38 W,22,20,Win
11/1/2015,2015,CHI,MIN,41.53 N,-87.38 W,20,23,Loss
11/22/2015,2015,CHI,DEN,41.53 N,-87.38 W,15,17,Loss
12/6/2015,2015,CHI,SF,41.53 N,-87.38 W,20,26,Loss
12/13/2015,2015,CHI,WSH,41.53 N,-87.38 W,21,24,Loss
1/3/2016,2015,CHI,DET,41.53 N,-87.38 W,20,24,Loss
9/20/2015,2015,CIN,LAC,39.06 N,-84.31 W,24,19,Win
10/4/2015,2015,CIN,KC,39.06 N,-84.31 W,36,21,Win
10/11/2015,2015,CIN,SEA,39.06 N,-84.31 W,27,24,Win
11/5/2015,2015,CIN,CLE,39.06 N,-84.31 W,31,10,Win
11/16/2015,2015,CIN,HOU,39.06 N,-84.31 W,6,10,Loss
11/29/2015,2015,CIN,LAR,39.06 N,-84.31 W,31,7,Win
12/13/2015,2015,CIN,PIT,39.06 N,-84.31 W,20,33,Loss
1/3/2016,2015,CIN,BAL,39.06 N,-84.31 W,24,16,Win
1/8/2016,2015,CIN,PIT,39.06 N,-84.31 W,16,18,Loss
9/20/2015,2015,CLE,TEN,41.30 N,-81.41 W,28,14,Win
9/27/2015,2015,CLE,OAK,41.30 N,-81.41 W,20,27,Loss
10/18/2015,2015,CLE,DEN,41.30 N,-81.41 W,23,26,Loss
11/1/2015,2015,CLE,ARI,41.30 N,-81.41 W,20,34,Loss
11/30/2015,2015,CLE,BAL,41.30 N,-81.41 W,27,33,Loss
12/6/2015,2015,CLE,CIN,41.30 N,-81.41 W,3,37,Loss
12/13/2015,2015,CLE,SF,41.30 N,-81.41 W,24,10,Win
1/3/2016,2015,CLE,PIT,41.30 N,-81.41 W,12,28,Loss
9/13/2015,2015,DAL,NYG,32.47 N,-96.48 W,27,26,Win
9/27/2015,2015,DAL,ATL,32.47 N,-96.48 W,28,39,Loss
10/11/2015,2015,DAL,NE,32.47 N,-96.48 W,6,30,Loss
11/1/2015,2015,DAL,SEA,32.47 N,-96.48 W,12,13,Loss
11/8/2015,2015,DAL,PHI,32.47 N,-96.48 W,27,33,Loss
11/26/2015,2015,DAL,CAR,32.47 N,-96.48 W,14,33,Loss
12/19/2015,2015,DAL,NYJ,32.47 N,-96.48 W,16,19,Loss
1/3/2016,2015,DAL,WSH,32.47 N,-96.48 W,23,34,Loss
9/13/2015,2015,DEN,BAL,39.43 N,-105.01 W,19,13,Win
10/4/2015,2015,DEN,MIN,39.43 N,-105.01 W,23,20,Win
11/1/2015,2015,DEN,GB,39.43 N,-105.01 W,29,10,Win
11/15/2015,2015,DEN,KC,39.43 N,-105.01 W,13,29,Loss
11/29/2015,2015,DEN,NE,39.43 N,-105.01 W,30,24,Win
12/13/2015,2015,DEN,OAK,39.43 N,-105.01 W,12,15,Loss
12/28/2015,2015,DEN,CIN,39.43 N,-105.01 W,20,17,Win
1/3/2016,2015,DEN,LAC,39.43 N,-105.01 W,27,20,Win
1/16/2016,2015,DEN,PIT,39.43 N,-105.01 W,23,16,Win
1/24/2016,2015,DEN,NE,39.43 N,-105.01 W,20,18,Win
2/7/2016,2015,DEN,CAR,39.43 N,-105.01 W,24,10,Win
9/27/2015,2015,DET,DEN,42.20 N,-83.03 W,12,24,Loss
10/11/2015,2015,DET,ARI,42.20 N,-83.03 W,17,42,Loss
10/18/2015,2015,DET,CHI,42.20 N,-83.03 W,37,34,Win
10/25/2015,2015,DET,MIN,42.20 N,-83.03 W,19,28,Loss
11/22/2015,2015,DET,OAK,42.20 N,-83.03 W,18,13,Win
11/26/2015,2015,DET,PHI,42.20 N,-83.03 W,45,14,Win
12/3/2015,2015,DET,GB,42.20 N,-83.03 W,23,27,Loss
12/27/2015,2015,DET,SF,42.20 N,-83.03 W,32,17,Win
9/20/2015,2015,GB,SEA,44.30 N,-88.01 W,27,17,Win
9/28/2015,2015,GB,KC,44.30 N,-88.01 W,38,28,Win
10/11/2015,2015,GB,LAR,44.30 N,-88.01 W,24,10,Win
10/18/2015,2015,GB,LAC,44.30 N,-88.01 W,27,20,Win
11/15/2015,2015,GB,DET,44.30 N,-88.01 W,16,18,Loss
11/26/2015,2015,GB,CHI,44.30 N,-88.01 W,13,17,Loss
12/13/2015,2015,GB,DAL,44.30 N,-88.01 W,28,7,Win
1/3/2016,2015,GB,MIN,44.30 N,-88.01 W,13,20,Loss
9/13/2015,2015,HOU,KC,29.46 N,-95.22 W,20,27,Loss
9/27/2015,2015,HOU,TB,29.46 N,-95.22 W,19,9,Win
10/8/2015,2015,HOU,IND,29.46 N,-95.22 W,20,27,Loss
11/1/2015,2015,HOU,TEN,29.46 N,-95.22 W,20,6,Win
11/22/2015,2015,HOU,NYJ,29.46 N,-95.22 W,24,17,Win
11/29/2015,2015,HOU,NO,29.46 N,-95.22 W,24,6,Win
12/13/2015,2015,HOU,NE,29.46 N,-95.22 W,6,27,Loss
1/3/2016,2015,HOU,JAX,29.46 N,-95.22 W,30,6,Win
1/8/2016,2015,HOU,KC,29.46 N,-95.22 W,0,30,Loss
9/21/2015,2015,IND,NYJ,39.46 N,-86.09 W,7,20,Loss
10/4/2015,2015,IND,JAX,39.46 N,-86.09 W,16,13,Win
10/18/2015,2015,IND,NE,39.46 N,-86.09 W,27,34,Loss
10/25/2015,2015,IND,NO,39.46 N,-86.09 W,21,27,Loss
11/8/2015,2015,IND,DEN,39.46 N,-86.09 W,27,24,Win
11/29/2015,2015,IND,TB,39.46 N,-86.09 W,25,12,Win
12/20/2015,2015,IND,HOU,39.46 N,-86.09 W,10,16,Loss
1/3/2016,2015,IND,TEN,39.46 N,-86.09 W,30,24,Win
9/13/2015,2015,JAX,CAR,30.20 N,-81.40 W,9,20,Loss
9/20/2015,2015,JAX,MIA,30.20 N,-81.40 W,23,20,Win
10/18/2015,2015,JAX,HOU,30.20 N,-81.40 W,20,31,Loss
10/25/2015,2015,JAX,BUF,30.20 N,-81.40 W,34,31,Win
11/19/2015,2015,JAX,TEN,30.20 N,-81.40 W,19,13,Win
11/29/2015,2015,JAX,LAC,30.20 N,-81.40 W,25,31,Loss
12/13/2015,2015,JAX,IND,30.20 N,-81.40 W,51,16,Win
12/20/2015,2015,JAX,ATL,30.20 N,-81.40 W,17,23,Loss
9/17/2015,2015,KC,DEN,39.06 N,-94.37 W,24,31,Loss
10/11/2015,2015,KC,CHI,39.06 N,-94.37 W,17,18,Loss
10/25/2015,2015,KC,PIT,39.06 N,-94.37 W,23,13,Win
11/1/2015,2015,KC,DET,39.06 N,-94.37 W,45,10,Win
11/29/2015,2015,KC,BUF,39.06 N,-94.37 W,30,22,Win
12/13/2015,2015,KC,LAC,39.06 N,-94.37 W,10,3,Win
12/27/2015,2015,KC,CLE,39.06 N,-94.37 W,17,13,Win
1/3/2016,2015,KC,OAK,39.06 N,-94.37 W,23,17,Win
9/13/2015,2015,LAC,DET,39.06 N,-94.37 W,33,28,Win
10/4/2015,2015,LAC,CLE,39.06 N,-94.37 W,30,27,Win
10/12/2015,2015,LAC,PIT,39.06 N,-94.37 W,20,24,Loss
10/25/2015,2015,LAC,OAK,39.06 N,-94.37 W,29,37,Loss
11/9/2015,2015,LAC,CHI,39.06 N,-94.37 W,19,22,Loss
11/22/2015,2015,LAC,KC,39.06 N,-94.37 W,3,33,Loss
12/6/2015,2015,LAC,DEN,39.06 N,-94.37 W,3,17,Loss
12/20/2015,2015,LAC,MIA,39.06 N,-94.37 W,30,14,Win
9/13/2015,2015,LAR,SEA,39.06 N,-94.37 W,34,31,Win
9/27/2015,2015,LAR,PIT,39.06 N,-94.37 W,6,12,Loss
10/25/2015,2015,LAR,CLE,39.06 N,-94.37 W,24,6,Win
11/1/2015,2015,LAR,SF,39.06 N,-94.37 W,27,6,Win
11/15/2015,2015,LAR,CHI,39.06 N,-94.37 W,13,37,Loss
12/6/2015,2015,LAR,ARI,39.06 N,-94.37 W,3,27,Loss
12/13/2015,2015,LAR,DET,39.06 N,-94.37 W,21,14,Win
12/17/2015,2015,LAR,TB,39.06 N,-94.37 W,31,23,Win
9/27/2015,2015,MIA,BUF,25.46 N,-80.12 W,14,41,Loss
10/4/2015,2015,MIA,NYJ,25.46 N,-80.12 W,14,27,Loss
10/25/2015,2015,MIA,HOU,25.46 N,-80.12 W,44,26,Win
11/22/2015,2015,MIA,DAL,25.46 N,-80.12 W,14,24,Loss
12/6/2015,2015,MIA,BAL,25.46 N,-80.12 W,15,13,Win
12/14/2015,2015,MIA,NYG,25.46 N,-80.12 W,24,31,Loss
12/27/2015,2015,MIA,IND,25.46 N,-80.12 W,12,18,Loss
1/3/2016,2015,MIA,NE,25.46 N,-80.12 W,20,10,Win
9/20/2015,2015,MIN,DET,44.59 N,-93.13 W,26,16,Win
9/27/2015,2015,MIN,LAC,44.59 N,-93.13 W,31,14,Win
10/18/2015,2015,MIN,KC,44.59 N,-93.13 W,16,10,Win
11/8/2015,2015,MIN,LAR,44.59 N,-93.13 W,21,18,Win
11/22/2015,2015,MIN,GB,44.59 N,-93.13 W,13,30,Loss
12/6/2015,2015,MIN,SEA,44.59 N,-93.13 W,7,38,Loss
12/20/2015,2015,MIN,CHI,44.59 N,-93.13 W,38,17,Win
12/27/2015,2015,MIN,NYG,44.59 N,-93.13 W,49,17,Win
1/9/2016,2015,MIN,SEA,44.59 N,-93.13 W,9,10,Loss
9/10/2015,2015,NE,PIT,42.21 N,-71.04 W,28,21,Win
9/27/2015,2015,NE,JAX,42.21 N,-71.04 W,51,17,Win
10/25/2015,2015,NE,NYJ,42.21 N,-71.04 W,30,23,Win
10/29/2015,2015,NE,MIA,42.21 N,-71.04 W,36,7,Win
11/8/2015,2015,NE,WSH,42.21 N,-71.04 W,27,10,Win
11/23/2015,2015,NE,BUF,42.21 N,-71.04 W,20,13,Win
12/6/2015,2015,NE,PHI,42.21 N,-71.04 W,28,35,Loss
12/20/2015,2015,NE,TEN,42.21 N,-71.04 W,33,16,Win
1/15/2016,2015,NE,KC,42.21 N,-71.04 W,27,20,Win
9/20/2015,2015,NO,TB,29.58 N,-90.07 W,19,26,Loss
10/4/2015,2015,NO,DAL,29.58 N,-90.07 W,26,20,Win
10/15/2015,2015,NO,ATL,29.58 N,-90.07 W,31,21,Win
11/1/2015,2015,NO,NYG,29.58 N,-90.07 W,52,49,Win
11/8/2015,2015,NO,TEN,29.58 N,-90.07 W,28,34,Loss
12/6/2015,2015,NO,CAR,29.58 N,-90.07 W,38,41,Loss
12/21/2015,2015,NO,DET,29.58 N,-90.07 W,27,35,Loss
12/27/2015,2015,NO,JAX,29.58 N,-90.07 W,38,27,Win
9/20/2015,2015,NYG,ATL,40.43 N,-74.01 W,20,24,Loss
9/24/2015,2015,NYG,WSH,40.43 N,-74.01 W,32,21,Win
10/11/2015,2015,NYG,SF,40.43 N,-74.01 W,30,27,Win
10/25/2015,2015,NYG,DAL,40.43 N,-74.01 W,27,20,Win
11/15/2015,2015,NYG,NE,40.43 N,-74.01 W,26,27,Loss
12/6/2015,2015,NYG,NYJ,40.43 N,-74.01 W,20,23,Loss
12/20/2015,2015,NYG,CAR,40.43 N,-74.01 W,35,38,Loss
1/3/2016,2015,NYG,PHI,40.43 N,-74.01 W,30,35,Loss
9/13/2015,2015,NYJ,CLE,40.43 N,-74.01 W,31,10,Win
9/27/2015,2015,NYJ,PHI,40.43 N,-74.01 W,17,24,Loss
10/18/2015,2015,NYJ,WSH,40.43 N,-74.01 W,34,20,Win
11/8/2015,2015,NYJ,JAX,40.43 N,-74.01 W,28,23,Win
11/12/2015,2015,NYJ,BUF,40.43 N,-74.01 W,17,22,Loss
11/29/2015,2015,NYJ,MIA,40.43 N,-74.01 W,38,20,Win
